Analyzing image "Kiosk Demo Disc Version 1.21 [SCUS-94696].cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 00000001 0000003c f SYSTEM.CNF
00000018 0000000e 00007000 f PSX.EXE
00000026 0000000e 00007000 f SCUS_946.96
00000034 000000fa 0007d000 f MAIN.EXE
0000012e 000000fa 0007d000 f SHELL.EXE
00000228 000000fa 0007d000 f MENU.EXE
00000322 00000019 0000c800 f CONTENTS.DAT
0000033b 000005dc 002ee000 f MENU.FF
00000917 00000001 00000800 d R4DEMO
00000918 00000139 0009c800 f R4DEMO/R4DEMO.EXE
00000a51 00004b50 025a8000 f R4DEMO/R4.BIN
000055a1 00002438 014a7f00 x R4DEMO/R4.STR
000079d9 00000001 00000800 d SPYRO3
000079da 000000b1 00058800 f SPYRO3/SPYRO3.EXE
00007a8b 00002070 01038000 f SPYRO3/WAD.WAD
00009afb 00003d83 02314b60 x SPYRO3/SPEECH.STR
0000d87e 00000001 00000800 d S0
0000d87f 0000009f 0004f800 f S0/CRASH.EXE
0000d91e 00000039 0001c4d4 f S0/S000000E.NSD
0000d957 000005c0 002e0000 f S0/S000000E.NSF
0000df17 00000039 0001c724 f S0/S0000011.NSD
0000df50 000007c0 003e0000 f S0/S0000011.NSF
0000e710 00000001 00000800 d PROSKATE
0000e711 0000011e 0008f000 f PROSKATE/PROSKATE.EXE
0000e82f 00000001 000001a1 f PROSKATE/CD.HED
0000e830 00000ae7 00573800 f PROSKATE/CD.WAD
0000f317 00002360 0142cc00 x PROSKATE/411.STR
00011677 00000001 00000800 d MINC
00011678 00000102 00081000 f MINC/MAIN.EXE
0001177a 0000012d 00096800 f MINC/TITLE.BZE
000118a7 00000104 00082000 f MINC/LSACTI.BZE
000119ab 00000104 00082000 f MINC/LSACTR1.BZE
00011aaf 00000104 00082000 f MINC/LSMO05.BZE
00011bb3 00000104 00082000 f MINC/MKSCREEN.BZE
00011cb7 000005cf 002e7800 f MINC/ACTR1.BZE
00012286 000005cc 002e6000 f MINC/ACTR1M.BZE
00012852 000005f4 002fa000 f MINC/BD09.BZE
00012e46 0000060a 00305000 f MINC/BD09M.BZE
00013450 00000130 00098000 f MINC/SQ02.BZE
00013580 000000e3 00071800 f MINC/LACCA.BZE
00013663 000000e5 00072800 f MINC/LACCAM.BZE
00013748 0000001f 0000f618 f MINC/URBAN.TIM
00013767 0000001f 0000f618 f MINC/DESERT.TIM
00013786 0000001f 0000f618 f MINC/ARCTIC.TIM
000137a5 000005da 002ed000 f MINC/MO05.BZE
00013d7f 000005ec 002f6000 f MINC/MO05M.BZE
0001436b 00000104 00082000 f MINC/LSBD09.BZE
0001446f 0000038d 001c6800 f MINC/ACTI.BZE
000147fc 00000377 001bb800 f MINC/ACTIM.BZE
00014b73 00000104 00082000 f MINC/SCREEN1.BZE
00014c77 00000104 00082000 f MINC/SCREEN2.BZE
00014d7b 00000104 00082000 f MINC/SCREEN3.BZE
00014e7f 000007a9 0045e620 x MINC/DISNEY.STR
00015628 00000397 0020c1e0 x MINC/LOGOA2M.STR
000159bf 000023e8 0147a500 x MINC/SPEECHES.XA
00017da7 00001ca4 01055880 x MINC/MUSIC.XA
00019a4b 00000001 00000800 d TR4
00019a4c 00000001 00000800 d TR4/DATA
