Analyzing image "[PSX] Official U.S. PlayStation Magazine 34 [SCUS-94593].cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 00000001 0000003c f SYSTEM.CNF
00000018 0000000d 00006800 f PSX.EXE
00000025 0000000d 00006800 f SCUS_945.93
00000032 000000fa 0007d000 f MAIN.EXE
0000012c 00000019 0000c800 f CONTENTS.DAT
00000145 000005dc 002ee000 f MENU.FF
00000721 00000001 00000800 d MRDRI
00000722 000002f7 0017b800 f MRDRI/MAIN.EXE
00000a19 00000087 00043214 f MRDRI/GRAPH.BIN
00000aa0 00000023 00011800 f MRDRI/REP.BIN
00000ac3 000025f8 015a7700 x MRDRI/BGM.XA
000030bb 00000001 00000800 d STARTREK
000030bc 000000bb 0005d800 f STARTREK/STARTREK.EXE
00003177 00009736 0563ccc0 x STARTREK/STARTREK.RES
0000c8ad 00000001 00000800 d LOD
0000c8ae 000001b3 000d9800 f LOD/DRGN.EXE
0000ca61 00000001 00000800 d LOD/OVL
0000ca62 00000040 0001fba8 f LOD/OVL/BTTL.OV_
0000caa2 00000029 000142f0 f LOD/OVL/SMAP.OV_
0000cacb 0000001a 0000cbb8 f LOD/OVL/S_BTLD.OV_
0000cae5 00000030 00017e1c f LOD/OVL/S_EFFE.OV_
0000cb15 00000003 000012e8 f LOD/OVL/S_INIT.OV_
0000cb18 00000026 0001286c f LOD/OVL/S_ITEM.OV_
0000cb3e 00000004 00001fe0 f LOD/OVL/S_STRM.OV_
0000cb42 00000024 00011a6c f LOD/OVL/TEMP.OV_
0000cb66 00000009 000044c0 f LOD/OVL/TTLE.OV_
0000cb6f 0000002b 00015470 f LOD/OVL/WMAP.OV_
0000cb9a 00000001 00000800 d LOD/SECT
0000cb9b 00001a52 00d29000 f LOD/SECT/DRGN0.BIN
0000e5ed 00000143 000a1800 f LOD/SECT/DRGN1.BIN
0000e730 0000142d 00a16800 f LOD/SECT/DRGN21.BIN
0000fb5d 00000001 00000800 d LOD/SIM
0000fb5e 00000011 00008058 f LOD/SIM/MES.MVB
0000fb6f 00000001 00000800 d LOD/SUBMAP
0000fb70 00000005 000021f0 f LOD/SUBMAP/NEWROOT.RDT
0000fb75 00000001 00000800 d LOD/XA
0000fb76 000010a0 0097b400 x LOD/XA/LODXA00.XA
00010c16 00000001 00000800 d MLB2K1
00010c17 00000124 00092000 f MLB2K1/MLB2001.EXE
00010d3b 00000a96 0054b000 f MLB2K1/DATA.WAD
000117d1 00000001 00000800 d PROSKATE
000117d2 00000003 000012c9 f PROSKATE/CD.HED
000117d5 00000c3e 0061f000 f PROSKATE/CD.WAD
00012413 00000840 004b4800 x PROSKATE/ATVILOGO.STR
00012c53 00000710 00407200 x PROSKATE/LOGO.STR
00013363 00004658 0281e300 x PROSKATE/COMPILED.XA
000179bb 000008d9 0046c800 f PROSKATE/MAR.STR
00018294 00000217 0010b800 f PROSKATE/STATIC.STR
000184ab 000001af 000d7800 f PROSKATE.EXE
0001865a 00000001 00000800 d MOVIES
0001865b 00002600 015ac000 x MOVIES/INTRO.STR
0001ac5b 00003d98 02320b00 x MOVIES/JEDI.STR
0001e9f3 00003558 01e6c300 x MOVIES/TENCHU2.STR
00021f4b 00003af8 021a1700 x MOVIES/COVERT.STR
00025a43 0000012c 00096000 f MOVIES/ENDCAP.STR
00025b6f 00000200 00100000 f DUMMY.FIL
