Analyzing image "thps2_e3_beta.cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 000001b2 000d9000 f PSX.EXE
000001c9 00000009 00004384 f CD.HED
000001d2 00004ad3 02569800 f CD.WAD
00004ca5 00000840 004b4800 x ATVILOGO.STR
000054e5 00007da0 047a5400 x COMPILED.XA
0000d285 00000710 00407200 x LOGO.STR
0000d995 000008d9 0046c800 f MAR.STR
0000e26e 00000217 0010b800 f STATIC.STR
0000e485 000008d9 0046c800 f NY.STR
0000ed5e 000008d9 0046c800 f PHILLY.STR
0000f637 000008d9 0046c800 f SCHOOL.STR
0000ff10 000008d9 0046c800 f SS.STR
