Analyzing image "[PSX] Play Fun 10-99 [SLED-02291] [G].cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 00000001 00000047 f SYSTEM.CNF
00000018 0000000d 00006800 f SLED_022.91
00000025 00000001 00000800 d MENU
00000026 000003a0 00211400 x MENU/256.STR
000003c6 000000da 0006d000 f MENU/GERMAN.EXE
000004a0 0000007d 0003e050 f MENU/LEFT2.VAG
0000051d 0000007d 0003e050 f MENU/RIGHT2.VAG
0000059a 00000013 00009800 f MENU/SSINIT.EXE
000005ad 00000001 00000800 d RUGRATS
000005ae 00000171 000b8800 f RUGRATS/RUG.EXE
0000071f 00000001 00000800 d RUGRATS/DATA
00000720 00000001 00000800 d RUGRATS/DATA/CINEMAT
00000721 00001b9f 00fc0ae0 x RUGRATS/DATA/CINEMAT/OPEN.BIN
000022c0 00000001 00000800 d RUGRATS/DATA/DB00
000022c1 00000001 0000056c f RUGRATS/DATA/DB00/BURST2.CMD
000022c2 00000060 00030000 f RUGRATS/DATA/DB00/CHARACTR.RAW
00002322 00000080 00040000 f RUGRATS/DATA/DB00/DB00A.RAW
000023a2 00000003 00001400 f RUGRATS/DATA/DB00/DB00ANM.BIN
000023a5 00000003 00001640 f RUGRATS/DATA/DB00/DB00FRM.BIN
000023a8 0000000b 00005670 f RUGRATS/DATA/DB00/DB00HIE.BIN
000023b3 00000001 00000484 f RUGRATS/DATA/DB00/DB00LP.BIN
000023b4 0000008a 00044cd8 f RUGRATS/DATA/DB00/DB00MOD.BIN
0000243e 0000000c 00005b28 f RUGRATS/DATA/DB00/DB00ROT.BIN
0000244a 00000013 000097c4 f RUGRATS/DATA/DB00/LEVEL00.BIN
0000245d 00000005 0000215e f RUGRATS/DATA/DB00/LEVEL00.COL
00002462 00000001 0000008c f RUGRATS/DATA/DB00/LOGO.CMD
00002463 00000023 00011640 f RUGRATS/DATA/DB00/TEMPLATE.BIN
00002486 00000001 00000418 f RUGRATS/DATA/DB00/TEXACTRL.DAT
00002487 00000003 00001410 f RUGRATS/DATA/DB00/TEXPOS.DAT
0000248a 00000001 00000800 d RUGRATS/DATA/DB02
0000248b 00000090 00048000 f RUGRATS/DATA/DB02/DB02A.RAW
0000251b 00000003 00001400 f RUGRATS/DATA/DB02/DB02ANM.BIN
0000251e 0000000b 00005580 f RUGRATS/DATA/DB02/DB02FRM.BIN
00002529 00000004 00001ee0 f RUGRATS/DATA/DB02/DB02HIE.BIN
0000252d 0000001b 0000d624 f RUGRATS/DATA/DB02/DB02LP.BIN
00002548 00000060 0002ff1c f RUGRATS/DATA/DB02/DB02MOD.BIN
000025a8 00000031 00018758 f RUGRATS/DATA/DB02/DB02ROT.BIN
000025d9 00000076 0003afcc f RUGRATS/DATA/DB02/LEVEL02.BIN
0000264f 00000025 000127a4 f RUGRATS/DATA/DB02/LEVEL02.COL
00002674 00000001 00000114 f RUGRATS/DATA/DB02/SPEECHTB.DAT
00002675 00000003 00001410 f RUGRATS/DATA/DB02/TEXPOS.DAT
00002678 00000001 00000800 d RUGRATS/DATA/DB08
00002679 00000001 00000234 f RUGRATS/DATA/DB08/SPEECHTB.DAT
0000267a 00000001 00000800 d RUGRATS/DATA/DB22
0000267b 00000090 00048000 f RUGRATS/DATA/DB22/DB22A.RAW
0000270b 00000003 00001400 f RUGRATS/DATA/DB22/DB22ANM.BIN
0000270e 00000003 000011c0 f RUGRATS/DATA/DB22/DB22FRM.BIN
00002711 00000004 00001a14 f RUGRATS/DATA/DB22/DB22HIE.BIN
00002715 00000004 00001ec4 f RUGRATS/DATA/DB22/DB22LP.BIN
00002719 0000005b 0002d5b8 f RUGRATS/DATA/DB22/DB22MOD.BIN
00002774 0000000a 00004988 f RUGRATS/DATA/DB22/DB22ROT.BIN
0000277e 0000001c 0000df8c f RUGRATS/DATA/DB22/LEVEL22.BIN
0000279a 00000006 00002d96 f RUGRATS/DATA/DB22/LEVEL22.COL
000027a0 00000003 00001410 f RUGRATS/DATA/DB22/TEXPOS.DAT
000027a3 00000001 00000800 d RUGRATS/DATA/DB24
000027a4 00000090 00048000 f RUGRATS/DATA/DB24/DB24A.RAW
00002834 00000003 00001400 f RUGRATS/DATA/DB24/DB24ANM.BIN
00002837 00000011 000082b0 f RUGRATS/DATA/DB24/DB24FRM.BIN
00002848 00000003 00001398 f RUGRATS/DATA/DB24/DB24HIE.BIN
0000284b 00000002 00000c64 f RUGRATS/DATA/DB24/DB24LP.BIN
0000284d 00000033 0001959c f RUGRATS/DATA/DB24/DB24MOD.BIN
00002880 00000044 00021be0 f RUGRATS/DATA/DB24/DB24ROT.BIN
000028c4 00000016 0000ad7c f RUGRATS/DATA/DB24/LEVEL24.BIN
000028da 00000008 00003cd0 f RUGRATS/DATA/DB24/LEVEL24.COL
000028e2 00000003 00001410 f RUGRATS/DATA/DB24/TEXPOS.DAT
000028e5 00000001 00000800 d RUGRATS/DATA/DB25
000028e6 00000090 00048000 f RUGRATS/DATA/DB25/DB25A.RAW
00002976 00000003 00001400 f RUGRATS/DATA/DB25/DB25ANM.BIN
00002979 00000011 000082b0 f RUGRATS/DATA/DB25/DB25FRM.BIN
0000298a 00000003 0000164c f RUGRATS/DATA/DB25/DB25HIE.BIN
0000298d 00000002 00000d24 f RUGRATS/DATA/DB25/DB25LP.BIN
0000298f 00000034 000198b8 f RUGRATS/DATA/DB25/DB25MOD.BIN
000029c3 00000044 00021be0 f RUGRATS/DATA/DB25/DB25ROT.BIN
00002a07 0000000c 00005e6c f RUGRATS/DATA/DB25/LEVEL25.BIN
00002a13 00000006 00002c24 f RUGRATS/DATA/DB25/LEVEL25.COL
00002a19 00000003 00001410 f RUGRATS/DATA/DB25/TEXPOS.DAT
00002a1c 00000001 00000800 d RUGRATS/DATA/DB28
00002a1d 00000090 00048000 f RUGRATS/DATA/DB28/DB28A.RAW
00002aad 00000003 00001400 f RUGRATS/DATA/DB28/DB28ANM.BIN
00002ab0 00000011 000082b0 f RUGRATS/DATA/DB28/DB28FRM.BIN
00002ac1 00000003 000014bc f RUGRATS/DATA/DB28/DB28HIE.BIN
00002ac4 00000003 00001624 f RUGRATS/DATA/DB28/DB28LP.BIN
00002ac7 0000003a 0001c9e4 f RUGRATS/DATA/DB28/DB28MOD.BIN
00002b01 00000044 00021be0 f RUGRATS/DATA/DB28/DB28ROT.BIN
00002b45 0000000f 0000735c f RUGRATS/DATA/DB28/LEVEL28.BIN
00002b54 00000007 000034c4 f RUGRATS/DATA/DB28/LEVEL28.COL
00002b5b 00000003 00001410 f RUGRATS/DATA/DB28/TEXPOS.DAT
00002b5e 00000001 00000800 d RUGRATS/DATA/FONTS
00002b5f 0000000e 00006c80 f RUGRATS/DATA/FONTS/PHOUSE.FNT
00002b6d 00000002 00000c00 f RUGRATS/DATA/FONTS/SYSTEM.FNT
00002b6f 00000002 00001000 d RUGRATS/DATA/HINTS
00002b71 00000001 0000018a f RUGRATS/DATA/HINTS/HINT01.TXT
00002b72 00000001 00000052 f RUGRATS/DATA/HINTS/HINT02.TXT
00002b73 00000001 0000014d f RUGRATS/DATA/HINTS/HINT03.TXT
00002b74 00000001 000000b3 f RUGRATS/DATA/HINTS/HINT04.TXT
00002b75 00000001 000000b3 f RUGRATS/DATA/HINTS/HINT05.TXT
00002b76 00000001 000000e3 f RUGRATS/DATA/HINTS/HINT06.TXT
00002b77 00000001 00000119 f RUGRATS/DATA/HINTS/HINT07.TXT
00002b78 00000001 0000012b f RUGRATS/DATA/HINTS/HINT08.TXT
00002b79 00000001 00000039 f RUGRATS/DATA/HINTS/HINT09.TXT
00002b7a 00000001 000000a2 f RUGRATS/DATA/HINTS/HINT10.TXT
00002b7b 00000001 000000ff f RUGRATS/DATA/HINTS/HINT11.TXT
00002b7c 00000001 00000165 f RUGRATS/DATA/HINTS/HINT12.TXT
00002b7d 00000001 00000158 f RUGRATS/DATA/HINTS/HINT13.TXT
00002b7e 00000001 00000132 f RUGRATS/DATA/HINTS/HINT14.TXT
00002b7f 00000001 0000005d f RUGRATS/DATA/HINTS/HINT15.TXT
00002b80 00000001 00000114 f RUGRATS/DATA/HINTS/HINT16.TXT
00002b81 00000001 00000013 f RUGRATS/DATA/HINTS/HINT17.TXT
00002b82 00000001 0000001a f RUGRATS/DATA/HINTS/HINT18.TXT
00002b83 00000001 0000000c f RUGRATS/DATA/HINTS/HINT19.TXT
00002b84 00000001 0000000f f RUGRATS/DATA/HINTS/HINT20.TXT
00002b85 00000001 00000022 f RUGRATS/DATA/HINTS/HINT21.TXT
00002b86 00000001 000000c0 f RUGRATS/DATA/HINTS/HINT22.TXT
00002b87 00000001 00000113 f RUGRATS/DATA/HINTS/HINT23.TXT
00002b88 00000001 0000017d f RUGRATS/DATA/HINTS/HINT24.TXT
00002b89 00000001 00000118 f RUGRATS/DATA/HINTS/HINT25.TXT
00002b8a 00000001 000000f4 f RUGRATS/DATA/HINTS/HINT26.TXT
00002b8b 00000001 00000193 f RUGRATS/DATA/HINTS/HINT27.TXT
00002b8c 00000001 000000c5 f RUGRATS/DATA/HINTS/HINT28.TXT
00002b8d 00000001 000000f5 f RUGRATS/DATA/HINTS/HINT29.TXT
00002b8e 00000001 00000121 f RUGRATS/DATA/HINTS/HINT30.TXT
00002b8f 00000001 00000159 f RUGRATS/DATA/HINTS/HINT31.TXT
00002b90 00000001 00000138 f RUGRATS/DATA/HINTS/HINT32.TXT
00002b91 00000001 00000030 f RUGRATS/DATA/HINTS/HINT33.TXT
00002b92 00000001 0000009c f RUGRATS/DATA/HINTS/HINT34.TXT
00002b93 00000001 000000e8 f RUGRATS/DATA/HINTS/HINT35.TXT
00002b94 00000001 0000010b f RUGRATS/DATA/HINTS/HINT36.TXT
00002b95 00000001 000000e0 f RUGRATS/DATA/HINTS/HINT37.TXT
00002b96 00000001 0000001a f RUGRATS/DATA/HINTS/HINT38.TXT
00002b97 00000001 000000e2 f RUGRATS/DATA/HINTS/HINT39.TXT
00002b98 00000001 00000096 f RUGRATS/DATA/HINTS/HINT40.TXT
00002b99 00000001 000000a4 f RUGRATS/DATA/HINTS/HINT41.TXT
00002b9a 00000001 00000047 f RUGRATS/DATA/HINTS/HINT42.TXT
00002b9b 00000001 000000a2 f RUGRATS/DATA/HINTS/HINT43.TXT
00002b9c 00000001 00000081 f RUGRATS/DATA/HINTS/HINT44.TXT
00002b9d 00000001 00000198 f RUGRATS/DATA/HINTS/HINT45.TXT
00002b9e 00000001 00000800 d RUGRATS/DATA/MENU
00002b9f 00000090 00048000 f RUGRATS/DATA/MENU/MENU.TEX
00002c2f 00000003 00001410 f RUGRATS/DATA/MENU/TEXPOS.DAT
00002c32 00000002 00001000 d RUGRATS/DATA/MENU/TIMS
00002c34 0000000f 000070b8 f RUGRATS/DATA/MENU/TIMS/AISLE02.BS
00002c43 0000000e 00006e0c f RUGRATS/DATA/MENU/TIMS/AISLE05.BS
00002c51 00000004 00001840 f RUGRATS/DATA/MENU/TIMS/ANGEYES.TIM
00002c55 00000003 00001440 f RUGRATS/DATA/MENU/TIMS/ANGMOUTH.TIM
00002c58 00000004 00001840 f RUGRATS/DATA/MENU/TIMS/CHUEYES.TIM
00002c5c 00000003 00001440 f RUGRATS/DATA/MENU/TIMS/CHUMOUTH.TIM
00002c5f 0000000d 000061e4 f RUGRATS/DATA/MENU/TIMS/CYN00.BS
00002c6c 0000000c 00005954 f RUGRATS/DATA/MENU/TIMS/CYN01.BS
00002c78 00000001 00000640 f RUGRATS/DATA/MENU/TIMS/DIDEYES.TIM
00002c79 00000003 00001440 f RUGRATS/DATA/MENU/TIMS/DIDMOUTH.TIM
00002c7c 0000000e 00006cf0 f RUGRATS/DATA/MENU/TIMS/ENG1.BS
00002c8a 0000000e 00006c28 f RUGRATS/DATA/MENU/TIMS/ENG2.BS
00002c98 0000000f 0000708c f RUGRATS/DATA/MENU/TIMS/ENG3.BS
00002ca7 0000000e 00006c7c f RUGRATS/DATA/MENU/TIMS/ENG4.BS
00002cb5 0000000e 00006aa4 f RUGRATS/DATA/MENU/TIMS/ENG5.BS
00002cc3 0000000e 00006c94 f RUGRATS/DATA/MENU/TIMS/ENG6.BS
00002cd1 0000000f 00007384 f RUGRATS/DATA/MENU/TIMS/ENG7.BS
00002ce0 00000003 00001440 f RUGRATS/DATA/MENU/TIMS/GPAMOUTH.TIM
00002ce3 00000001 00000640 f RUGRATS/DATA/MENU/TIMS/GREYES.TIM
00002ce4 0000000f 000075d0 f RUGRATS/DATA/MENU/TIMS/HOUSE00.BS
00002cf3 0000000f 00007174 f RUGRATS/DATA/MENU/TIMS/HOUSE01.BS
00002d02 00000001 00000640 f RUGRATS/DATA/MENU/TIMS/LAREYES.TIM
00002d03 00000003 00001440 f RUGRATS/DATA/MENU/TIMS/LARMOUTH.TIM
00002d06 00000011 000080d4 f RUGRATS/DATA/MENU/TIMS/LEGAL512.BS
00002d17 0000000f 00007050 f RUGRATS/DATA/MENU/TIMS/NICK512.BS
00002d26 0000000d 000065dc f RUGRATS/DATA/MENU/TIMS/NSPAC512.BS
00002d33 0000000f 00007494 f RUGRATS/DATA/MENU/TIMS/REPTAR02.BS
00002d42 0000000d 000066ec f RUGRATS/DATA/MENU/TIMS/REPTAR03.BS
00002d4f 00000006 00002c40 f RUGRATS/DATA/MENU/TIMS/SQUIRT.TIM
00002d55 00000003 00001440 f RUGRATS/DATA/MENU/TIMS/STEMOUTH.TIM
00002d58 00000001 00000640 f RUGRATS/DATA/MENU/TIMS/STEVEYES.TIM
00002d59 00000028 00013840 f RUGRATS/DATA/MENU/TIMS/STRIP.TIM
00002d81 00000001 00000640 f RUGRATS/DATA/MENU/TIMS/STUEYES.TIM
00002d82 00000003 00001440 f RUGRATS/DATA/MENU/TIMS/STUMOUTH.TIM
00002d85 0000000d 000062e0 f RUGRATS/DATA/MENU/TIMS/TEETH00.BS
00002d92 0000000e 00006e9c f RUGRATS/DATA/MENU/TIMS/TEETH01.BS
00002da0 00000006 00002e74 f RUGRATS/DATA/MENU/TIMS/THQ512.BS
00002da6 00000004 00001840 f RUGRATS/DATA/MENU/TIMS/TOMEYES.TIM
00002daa 00000003 00001440 f RUGRATS/DATA/MENU/TIMS/TOMMOUTH.TIM
00002dad 00000004 00001840 f RUGRATS/DATA/MENU/TIMS/TWEYES.TIM
00002db1 0000000f 00007550 f RUGRATS/DATA/MENU/TIMS/VISIT02.BS
00002dc0 0000000f 00007528 f RUGRATS/DATA/MENU/TIMS/VISIT03.BS
00002dcf 00000016 0000ac2c f RUGRATS/DATA/MENU/TIMS/WARNING.BS
00002de5 00000001 00000800 d RUGRATS/DATA/SOUND
00002de6 00000001 00000800 d RUGRATS/DATA/SOUND/SEPS
00002de7 00000009 0000453c f RUGRATS/DATA/SOUND/SEPS/AISLE7.SEP
00002df0 00000006 00002c01 f RUGRATS/DATA/SOUND/SEPS/CIRCUS.SEP
00002df6 0000000a 00004f2c f RUGRATS/DATA/SOUND/SEPS/GTEETH.SEP
00002e00 0000000e 00006ed9 f RUGRATS/DATA/SOUND/SEPS/HOUSE.SEP
00002e0e 00000001 00000378 f RUGRATS/DATA/SOUND/SEPS/INTRO.SEP
00002e0f 0000000b 00005063 f RUGRATS/DATA/SOUND/SEPS/RUGRATS.SEP
00002e1a 00000001 00000800 d RUGRATS/DATA/SOUND/VAB
00002e1b 00000041 00020230 f RUGRATS/DATA/SOUND/VAB/AISLE7.VB
00002e5c 00000006 00002820 f RUGRATS/DATA/SOUND/VAB/AISLE7.VH
00002e62 00000028 00013d70 f RUGRATS/DATA/SOUND/VAB/CIRCUS.VB
00002e8a 00000005 00002020 f RUGRATS/DATA/SOUND/VAB/CIRCUS.VH
