Analyzing image "thps_sk707_rippsx.cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 00000174 000ba000 f PSX.EXE
0000018b 00000004 00001a19 f CD.HED
0000018f 00002246 01123000 f CD.WAD
000023d5 000046b0 02850600 x 411_DKS.STR
00006a85 000046b0 02850600 x 411_PR2.STR
0000b135 000046b0 02850600 x 411_REO.STR
0000f7e5 000046b0 02850600 x 411_UNS.STR
00013e95 000046b0 02850600 x 411_VAN.STR
00018545 00000840 004b4800 x ATVILOGO.STR
00018d85 00004940 029c6800 x GOLDFING.STR
0001d6c5 00000548 00303100 x LOGO.STR
0001dc0d 000047b3 028e4160 x SUICIDE.STR
