Analyzing image "Tony Hawk's Pro Skater 3 (E) [SLES-03645].cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 000001a7 000d3800 f SLES_036.45
000001be 0000000a 00004e58 f CD.HED
000001c8 00004d95 026ca800 f CD.WAD
00004f5d 00000001 00000042 f SYSTEM.CNF
00004f5e 00000640 00390800 x ACTIV.STR
0000559e 00000001 00000800 d X
0000a0b9 00001df0 01112e00 x X/HAWK.STR
0000bea9 00001b00 00f66000 x X/BAILS02.STR
0000d9a9 00001e80 01165000 x X/BAM.STR
0000f829 00001e38 0113bf00 x X/CABALLER.STR
00011661 00001e80 01165000 x X/CAMPBELL.STR
000134e1 00001e80 01165000 x X/GLIFBERG.STR
00015361 00001a68 00f0f500 x X/BAILS01.STR
00016dc9 00001df0 01112e00 x X/KOSTON.STR
00018bb9 00001e80 01165000 x X/LASEK.STR
0001aa39 00001df0 01112e00 x X/MULLEN.STR
0001c829 00001e80 01165000 x X/MUSKA.STR
0001e6a9 00001df0 01112e00 x X/REYNOLDS.STR
00020499 00001df0 01112e00 x X/ROWLEY.STR
00022289 00001e38 0113bf00 x X/STEAMER.STR
000240c1 00001df0 01112e00 x X/THOMAS.STR
0000559f 00003c0a 0223db40 x INTRO.STR
000091a9 00000bd0 006bca00 x LOGO.STR
00009d79 00000340 001da800 x SHABA.STR
00025eb1 0001f7c0 11f4b800 x COMPILED.XA
00045671 00003d93 01ec929c f THPS.WAV
