Analyzing image "Tony Hawk's Skateboarding (E) [SLES-02055].cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 00000001 00000046 f SYSTEM.CNF
00000018 0000019b 000cd800 f SLES_020.55
000001b3 00000008 00003c65 f CD.HED
000001bb 000032cb 01965800 f CD.WAD
00003486 000026e0 0162bc00 x INTROPAL.STR
00005b66 00004990 029f4200 x AQUASKY.STR
0000a4f6 00004970 029e1e00 x GRAND.STR
0000ee66 00004990 029f4200 x AIM.STR
000137f6 00004950 029cfa00 x ST.STR
00018146 00001860 00de6c00 x AARON.STR
000199a6 00000840 004b4800 x ATVILOGO.STR
0001a1e6 00001f20 011c0400 x BAILS.STR
0001c106 00001260 00a7ac00 x BURNQUIS.STR
0001d366 00001380 00b1f000 x CAMPBELL.STR
0001e6e6 00004960 029d8c00 x DK.STR
00023046 00004960 029d8c00 x ERNIES.STR
000279a6 000012e0 00ac3c00 x GLIFBERG.STR
00028c86 00004940 029c6800 x GOLDFING.STR
0002d5c6 00001260 00a7ac00 x HAWK.STR
0002e826 00001340 00afa800 x LASEK.STR
0002fb66 00000710 00407200 x LOGO.STR
00030276 000011e0 00a31c00 x MUSKA.STR
00031456 00001240 00a68800 x REYNOLDS.STR
00032696 00001200 00a44000 x ROWLEY.STR
00033896 000011e0 00a31c00 x 411.STR
00034a76 00001140 009d6800 x STEAMER.STR
00035bb6 000047b3 028e4160 x SUICIDE.STR
0003a369 000012e0 00ac3c00 x THOMAS.STR
0003b649 00004940 029c6800 x UNSANE.STR
0003ff89 00004970 029e1e00 x PRIMUS.STR
