Analyzing image "PSU 3-2 Disc 1.cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 00000465 00232800 f DOUGA.BIN
0000047c 00000077 0003b800 f FB_TEX.BIN
000004f3 0000009e 0004f000 f GRAPH.BIN
00000591 000000b3 00059800 f GRAPH1.BIN
00000644 000000a0 00050000 f GRAPH2.BIN
000006e4 00000044 00022000 f GRAPH3.BIN
00000728 0000007f 0003f800 f GRAPH4.BIN
000007a7 00000009 00004040 f HECTLOGO.TIM
000007b0 000000ff 0007f800 f MONDAI.BIN
000008af 000000b2 00059000 f SOUND.BIN
00000961 00000001 00000042 f SYSTEM2.CNF
00000962 000000ff 0007f800 f TSUMU.EXE
00000a61 00003610 01ed5200 x TSUMU.XA
00004071 00000001 0000003c f SYSTEM.CNF
00004072 0000000c 00006000 f SCUS_944.42
0000407e 0000000c 00006000 f PSX.EXE
0000408a 000000fa 0007d000 f MENU.EXE
00004184 00000019 0000c800 f CONTENTS.DAT
0000419d 00001f40 00fa0000 f MENU.FF
000060dd 00000001 00000800 d WORMHOLE
000060de 00000100 00080000 f WORMHOLE/WORMHOLE.EXE
000061de 00000400 00200000 f WORMHOLE/WORMHOLE.FF
000065de 00002948 0178b100 x WORMHOLE/WH.STR
00008f26 000022e0 013e3c00 x WORMHOLE/NEXT.STR
0000b206 0000012c 00096000 f WORMHOLE/ENDCAP.STR
0000b332 00000001 00000800 d MOVIES
0000b333 00000300 001b6000 x MOVIES/TRANS.STR
0000b633 00003f78 02432700 x MOVIES/MAGGIE.STR
0000f5ab 000003f2 00240040 x MOVIES/UG.STR
0000f99d 000097e0 0569dc00 x MOVIES/PS2_0.STR
0001917d 00002e58 01a6e300 x MOVIES/PS2_1.STR
0001bfd5 00000c70 00717e00 x MOVIES/PS2_2.STR
0001cc45 000012d0 00abaa00 x MOVIES/PS2_3.STR
0001df15 00001fa0 01209400 x MOVIES/PS2_4.STR
0001feb5 00000e58 0082e300 x MOVIES/PS2_5.STR
00020d0d 00000f40 008b2800 x MOVIES/PS2_6.STR
00021c4d 00001b18 00f73b00 x MOVIES/PS2_7.STR
00023765 00002200 01364000 x MOVIES/MOH.STR
00025965 00002c98 0196eb00 x MOVIES/JAMM.STR
000285fd 00009a6a 05810740 x MOVIES/STAR.STR
00032067 0000af10 063d7200 x MOVIES/E3.STR
0003cf77 0000012c 00096000 f MOVIES/ENDCAP.STR
0003d0a3 00000200 00100000 f PAD.DAT
