++ WARN: image scan/psx/THPS3-Final-Review-Build.bin size (514572288) not multiple of blocksize (2352)
Analyzing image "THPS3-Final-Review-Build.cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 000001a7 000d3800 f SLUS_014.19
000001be 0000000a 00004e58 f CD.HED
000001c8 00004d95 026ca800 f CD.WAD
00004f5d 00000001 00000042 f SYSTEM.CNF
00004f5e 00003c0a 0223db40 x INTRO.STR
00008b68 00000640 00390800 x ACTIV.STR
000091a8 00000bd0 006bca00 x LOGO.STR
00009d78 00000340 001da800 x SHABA.STR
0000a0b8 0001f7c0 11f4b800 x COMPILED.XA
00029878 00000001 00000800 d X
00029879 00001df0 01112e00 x X/HAWK.STR
0002b669 00001b00 00f66000 x X/BAILS02.STR
0002d169 00001e80 01165000 x X/BAM.STR
0002efe9 00001e38 0113bf00 x X/CABALLER.STR
00030e21 00001e80 01165000 x X/CAMPBELL.STR
00032ca1 00001e80 01165000 x X/GLIFBERG.STR
00034b21 00001a68 00f0f500 x X/BAILS01.STR
00036589 00001df0 01112e00 x X/KOSTON.STR
00038379 00001e80 01165000 x X/LASEK.STR
0003a1f9 00001df0 01112e00 x X/MULLEN.STR
0003bfe9 00001e80 01165000 x X/MUSKA.STR
0003de69 00001df0 01112e00 x X/REYNOLDS.STR
0003fc59 00001df0 01112e00 x X/ROWLEY.STR
00041a49 00001e38 0113bf00 x X/STEAMER.STR
00043881 00001df0 01112e00 x X/THOMAS.STR
00045671 00003d93 01ec929c f THPS.WAV
