Analyzing image "(PSX) Tony Hawk's Pro Skater 2 (SLPM-86751).cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 00000001 00000800 d X
00000a03 00001b00 00f66000 x X/BAILS02.STR
00002503 00001920 00e54400 x X/BAILS01.STR
00003e23 000017a0 00d79400 x X/BURNQUIS.STR
000055c3 00001800 00db0000 x X/CABALLER.STR
00006dc3 00001960 00e78c00 x X/CAMPBELL.STR
00008723 000018c0 00e1d800 x X/GLIFBERG.STR
00009fe3 00001900 00e42000 x X/HAWK.STR
0000b8e3 000018c0 00e1d800 x X/KOSTON.STR
0000d1a3 000019a0 00e9d400 x X/LASEK.STR
0000eb43 00002040 01264800 x X/MS.STR
00010b83 00001960 00e78c00 x X/MULLEN.STR
000124e3 00001880 00df9000 x X/MUSKA.STR
00013d63 000021b8 0133af00 x X/OD.STR
00015f1b 00002cd8 01993300 x X/PC.STR
00018bf3 00001880 00df9000 x X/REYNOLDS.STR
0001a473 00001820 00dc2400 x X/ROWLEY.STR
0001bc93 00003070 01b9fe00 x X/SM.STR
0001ed03 00001440 00b8c800 x X/STEAMER.STR
00020143 00001880 00df9000 x X/THOMAS.STR
00000018 00000001 00000042 f SYSTEM.CNF
00000019 000001aa 000d5000 f SLPM_867.51
000001c3 00000840 004b4800 x ATVILOGO.STR
000219c3 000002f8 001b1700 x SUCCESS.STR
00021cbb 00003a38 02133f00 x INTRO.STR
000256f3 00000a90 00606200 x LOGO.STR
00026183 00005fe7 02ff3800 f CD.WAD
0002c16a 00000009 000047ec f CD.HED
0002c173 000008e3 00511760 x EDITOR.STR
0002ca56 000008e3 00511760 x BULLRING.STR
0002d339 000008e3 00511760 x B1.STR
0002dc1c 000008e3 00511760 x HANGAR.STR
0002e4ff 000008e3 00511760 x HEAVEN.STR
0002ede2 000008e3 00511760 x MAR.STR
0002f6c5 000008e3 00511760 x NY.STR
0002ffa8 000008e3 00511760 x PHILLY.STR
0003088b 000008e3 00511760 x SCHOOL.STR
0003116e 000008e3 00511760 x SS.STR
00031a51 000008e3 00511760 x VENICE.STR
00032334 00019de0 0ec09c00 x COMPILED.XA
0004c114 00000001 00000800 d BMX
0004c115 00000003 00001245 f BMX/BMXCD.HED
0004c118 00000f71 007b8800 f BMX/BMXCD.WAD
0004d089 00000010 00007d3c f BMX/BOOT.BIN
0004d099 0000018c 000c5924 f BMX/EDITOR.BIN
0004d225 00000001 0000035c f BMX/EXIT.BIN
0004d226 00000898 0044be44 f BMX/FE.STR
0004dabe 00000002 00000b60 f BMX/FE.WAD
0004dac0 0000006b 00035004 f BMX/FRONT.BIN
0004db2b 00000131 0009823c f BMX/GAME.BIN
0004dc5c 00000028 00014000 f BMX/X.EXE
