Analyzing image "thpsfinalbeta.cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 0000017d 000be800 f PSX.EXE
00000194 00000006 00002ddd f CD.HED
0000019a 00002531 01298800 f CD.WAD
000026cb 000047b3 028e4160 x SUICIDE.STR
00006e7e 000046b0 02850600 x 411_REO.STR
0000b52e 000046b0 02850600 x 411_UNS.STR
0000fbde 000046b0 02850600 x 411_VAN.STR
0001428e 00000840 004b4800 x ATVILOGO.STR
00014ace 00004940 029c6800 x GOLDFING.STR
0001940e 00000548 00303100 x LOGO.STR
00019956 000046b0 02850600 x 411_PR2.STR
0001e006 000046b0 02850600 x 411_DKS.STR
