Analyzing image "Jampack Summer 99.cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 00000001 0000003c f SYSTEM.CNF
00000018 0000000c 00006000 f SCUS_944.28
00000024 0000000c 00006000 f PSX.EXE
00000030 000000fa 0007d000 f MENU.EXE
0000012a 00000019 0000c800 f CONTENTS.DAT
00000143 000000fa 0007d000 f TECH.EXE
0000023d 00001388 009c4000 f MENU.FF
000015c5 00000400 00200000 f TECH.FF
000019c5 00000001 00000800 d MOVIES
000019c6 00000388 00203900 x MOVIES/UG.STR
00001d4e 00000d08 0076e900 x MOVIES/MENUINTR.STR
00002a56 00000598 00330b00 x MOVIES/BEHIND.STR
00002fee 00000888 004dd900 x MOVIES/DOWNLOAD.STR
00003876 00000300 001b6000 x MOVIES/TRANS.STR
00003b76 000022a0 013bf400 x MOVIES/POCKET.STR
00005e16 000005e0 00359c00 x MOVIES/IMPORTS.STR
000063f6 0000c7f8 0720b700 x MOVIES/WCW.STR
00012bee 000021f2 0135c040 x MOVIES/3XTREME.STR
00014de0 00004812 0291a440 x MOVIES/COOL1.STR
000195f2 00002bf8 01913700 x MOVIES/COOL3.STR
0001c1ea 000021d8 0134d300 x MOVIES/COOL5.STR
0001e3c2 00001968 00e7d500 x MOVIES/COOL8.STR
0001fd2a 000034b8 01e10f00 x MOVIES/COOL9.STR
000231e2 0000012c 00096000 f MOVIES/ENDCAP.STR
0002330e 00000001 00000800 d KIDZ
0002330f 00000146 000a3000 f KIDZ/KIDZ.EXE
00023455 00000001 00000800 f KIDZ/KKIIDDZZ.HED
00023456 0000105a 0082d000 f KIDZ/KKIIDDZZ.DAT
000244b0 0000004f 00027800 f KIDZ/KKIIDDZZ.BNS
000244ff 000000dc 0006d89c f KIDZ/TITLE.ALL
000245db 00000930 0053d600 x KIDZ/TALK.STR
00024f0b 000010da 0099c540 x KIDZ/TITLE.STR
00025fe5 00000001 00000800 d ASC
00025fe6 0000000f 00007478 f ASC/ASC.DAT
00025ff5 0000012e 00097000 f BR2.EXE
00026123 00000001 00000800 d EFT
00026124 00000014 00009f8c f EFT/EFT.DAT
00026138 00000001 00000800 d SND
00026139 0000001a 0000cb80 f SND/CHASEL_1.SND
00026153 00000076 0003af50 f SND/CHASEL_2.SND
000261c9 00000062 00030e20 f SND/COMMON_1.SND
0002622b 00000017 0000b320 f SND/COMMON_2.SND
00026242 0000001f 0000f480 f SND/ENDING.SND
00026261 00000060 0002fee0 f SND/TITLE.SND
000262c1 00000001 00000800 d ST5
000262c2 0000001b 0000d4fc f ST5/ST5.DAT
000262dd 00000017 0000b2d0 f ST5/STAGE_5.SND
000262f4 00000001 00000800 d LON
000262f5 00000033 00019080 f LON/CHARA_02.SND
00026328 00000011 00008400 f LON/GOVER_02.SND
00026339 00000052 00028f0e f LON/LON.ACT
0002638b 00000019 0000c1c0 f LON/LON1P.ANI
000263a4 00000027 000137d0 f LON/LON1P.DAT
000263cb 00000019 0000c1c0 f LON/LON2P.ANI
000263e4 00000027 000137a8 f LON/LON2P.DAT
0002640b 00000019 0000c1c0 f LON/LON3P.ANI
00026424 00000027 000137e4 f LON/LON3P.DAT
0002644b 00000019 0000c1c0 f LON/LON4P.ANI
00026464 00000027 000137a4 f LON/LON4P.DAT
0002648b 00000004 00001848 f LON/LONEFT.DAT
0002648f 00000001 00000800 d STU
00026490 00000039 0001c1e0 f STU/CHARA_08.SND
000264c9 0000000d 000067b0 f STU/GOVER_08.SND
000264d6 0000005f 0002f092 f STU/STU.ACT
00026535 00000016 0000abac f STU/STU1P.ANI
0002654b 00000021 000101a8 f STU/STU1P.DAT
0002656c 00000016 0000abac f STU/STU2P.ANI
00026582 0000001f 0000f2f0 f STU/STU2P.DAT
000265a1 00000016 0000abac f STU/STU3P.ANI
000265b7 00000021 000101b8 f STU/STU3P.DAT
000265d8 00000016 0000abac f STU/STU4P.ANI
000265ee 00000021 000101f4 f STU/STU4P.DAT
0002660f 00000003 000011f0 f STU/STUEFT.DAT
00026612 00000001 00000800 d CMN
00026613 00000034 00019d88 f CMN/CMN.ACT
00026647 00000003 00001484 f CMN/HUD.DAT
0002664a 00000025 0001242c f CMN/INIT.DAT
0002666f 0000003b 0001d048 f CMN/P00.DAT
000266aa 00000083 000410a0 f CMN/P01.DAT
0002672d 00000005 00002014 f CMN/SE00.DAT
00026732 00000020 0000fa70 f CMN/SEL00.DAT
00026752 00000124 00091a88 f CMN/SEL01.DAT
00026876 00000026 00012f4c f CMN/USATITLE.DAT
0002689c 00000001 00000800 d CMN/VS
