Analyzing image "Tony Hawk's Pro Skater 3 (G) [SLES-03647].cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 000001a8 000d4000 f SLES_036.47
000001bf 0000000a 00004e58 f CD.HED
000001c9 00004d94 026ca000 f CD.WAD
00004f5d 00000001 00000042 f SYSTEM.CNF
00004f5e 00000bd0 006bca00 x LOGO.STR
00005b2e 00000640 00390800 x ACTIV.STR
0000616e 00003c0a 0223db40 x INTRO.STR
00009d78 00000001 00000800 d X
00029879 00001df0 01112e00 x X/MULLEN.STR
0002b669 00001b00 00f66000 x X/BAILS02.STR
0002d169 00001e80 01165000 x X/BAM.STR
0002efe9 00001e38 0113bf00 x X/CABALLER.STR
00030e21 00001e80 01165000 x X/CAMPBELL.STR
00032ca1 00001e80 01165000 x X/GLIFBERG.STR
00034b21 00001df0 01112e00 x X/HAWK.STR
00036911 00001df0 01112e00 x X/KOSTON.STR
00038701 00001e80 01165000 x X/LASEK.STR
0003a581 00001a68 00f0f500 x X/BAILS01.STR
0003bfe9 00001e80 01165000 x X/MUSKA.STR
0003de69 00001df0 01112e00 x X/REYNOLDS.STR
0003fc59 00001df0 01112e00 x X/ROWLEY.STR
00041a49 00001e38 0113bf00 x X/STEAMER.STR
00043881 00001df0 01112e00 x X/THOMAS.STR
00009d79 00000340 001da800 x SHABA.STR
0000a0b9 0001f7c0 11f4b800 x COMPILED.XA
00045671 00003d93 01ec929c f THPS.WAV
