Analyzing image "(PSX) PlayStation Underground 3.4 (Demo) (CD1) (SCUS-94446).cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 00000001 0000003c f SYSTEM.CNF
00000018 0000000f 00007800 f SCUS_944.46
00000027 0000000f 00007800 f PSX.EXE
00000036 000000fa 0007d000 f MENU.EXE
00000130 00000019 0000c800 f CONTENTS.DAT
00000149 00001388 009c4000 f MENU.FF
000014d1 00000001 00000800 d MOVIES
000014d2 00000a40 005d8800 x MOVIES/BEFORE.STR
00001f12 00003148 01c1b100 x MOVIES/MAGGIE.STR
0000505a 000003f2 00240040 x MOVIES/AFTER.STR
0000544c 000007f8 0048b700 x MOVIES/DOWNLOAD.STR
00005c44 00000228 0013ad00 x MOVIES/EVENT.STR
00005e6c 00000330 001d1600 x MOVIES/BTS.STR
0000619c 00000aa0 0060f400 x MOVIES/THREADZ.STR
00006c3c 0000012c 00096000 f MOVIES/ENDCAP.STR
00006d68 00000001 00000800 d WORMHOLE
00006d69 0000012c 00096000 f WORMHOLE/WORMHOLE.EXE
00006e95 000007d0 003e8000 f WORMHOLE/WORMHOLE.FF
00007665 00000456 002790c0 x WORMHOLE/ENDWIN.STR
00007abb 000006a8 003cbd00 x WORMHOLE/ENDLOSE.STR
00008163 00003130 01c0d600 x WORMHOLE/WH.STR
0000b293 00001bb8 00fcef00 x WORMHOLE/NEXT.STR
0000ce4b 0000012c 00096000 f WORMHOLE/ENDCAP.STR
0000cf77 00000001 00000800 d MOVIES2
0000cf78 00008108 04996900 x MOVIES2/PSX2.STR
00015080 00003ab8 0217cf00 x MOVIES2/CGD.STR
00018b38 0000b806 068f36c0 x MOVIES2/SPYRO.STR
0002433e 000040b0 024e4600 x MOVIES2/TGS.STR
000283ee 00004fb8 02d76f00 x MOVIES2/LAMMY.STR
0002d3a6 00006d50 03e57a00 x MOVIES2/TOMBA.STR
000340f6 0000bf00 06cee000 x MOVIES2/CTR.STR
0003fff6 0000012c 00096000 f MOVIES2/ENDCAP.STR
00040122 000034bc 01a5e000 f PAD.DAT
