Analyzing image "Tony Hawk's Pro Skater 2 (E) [SLES-02908].cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 00000001 00000042 f SYSTEM.CNF
00000018 000001a7 000d3800 f SLES_029.08
000001bf 00000009 000047c8 f CD.HED
000001c8 00005fe2 02ff1000 f CD.WAD
000061aa 00000001 00000800 d BMX
000061ab 00000028 00014000 f BMX/X.EXE
000061d3 00000010 00007d44 f BMX/BOOT.BIN
000061e3 0000006b 00035040 f BMX/FRONT.BIN
0000624e 00000002 00000b60 f BMX/FE.WAD
00006250 00000898 0044be44 f BMX/FE.STR
00006ae8 00000131 000982e0 f BMX/GAME.BIN
00006c19 00000003 00001245 f BMX/BMXCD.HED
00006c1c 00000f71 007b8800 f BMX/BMXCD.WAD
00007b8d 00000001 0000035c f BMX/EXIT.BIN
00007b8e 0000018c 000c5924 f BMX/EDITOR.BIN
00007d1a 000008e2 00471000 f MAR.STR
000085fc 000008e2 00471000 f B1.STR
00008ede 000008e2 00471000 f BULLRING.STR
000097c0 00019de0 0ec09c00 x COMPILED.XA
000235a0 000008e2 00471000 f EDITOR.STR
00023e82 000008e2 00471000 f HANGAR.STR
00024764 000008e2 00471000 f HEAVEN.STR
00025046 00000a90 00606200 x LOGO.STR
00025ad6 00000840 004b4800 x ATVILOGO.STR
00026316 000008e2 00471000 f NY.STR
00026bf8 000008e2 00471000 f PHILLY.STR
000274da 000008e2 00471000 f SCHOOL.STR
00027dbc 000008e2 00471000 f SS.STR
0002869e 000008e2 00471000 f VENICE.STR
00028f80 00000001 00000800 d X
00028f81 00002040 01264800 x X/MS.STR
0002afc1 00001b00 00f66000 x X/BAILS02.STR
0002cac1 000017a0 00d79400 x X/BURNQUIS.STR
0002e261 00001800 00db0000 x X/CABALLER.STR
0002fa61 00001960 00e78c00 x X/CAMPBELL.STR
000313c1 000018c0 00e1d800 x X/GLIFBERG.STR
00032c81 00001900 00e42000 x X/HAWK.STR
00034581 000018c0 00e1d800 x X/KOSTON.STR
00035e41 000019a0 00e9d400 x X/LASEK.STR
000377e1 00001920 00e54400 x X/BAILS01.STR
00039101 00001960 00e78c00 x X/MULLEN.STR
0003aa61 00001880 00df9000 x X/MUSKA.STR
0003c2e1 000021b8 0133af00 x X/OD.STR
0003e499 00002cd8 01993300 x X/PC.STR
00041171 00001880 00df9000 x X/REYNOLDS.STR
000429f1 00001820 00dc2400 x X/ROWLEY.STR
00044211 00003070 01b9fe00 x X/SM.STR
00047281 00001440 00b8c800 x X/STEAMER.STR
000486c1 00001880 00df9000 x X/THOMAS.STR
00049f41 00003a38 02133f00 x INTRO.STR
