Analyzing image "Tony Hawk's Pro Skater 4 (G) [SLES-03955].cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 00000001 00000042 f SYSTEM.CNF
00000018 000001ab 000d5800 f SLES_039.55
000001c3 00000640 00390800 x ACTIV.STR
00000803 00000bc8 006b8100 x LOGO.STR
000013cb 00000666 003a62c0 x VVLOGO.STR
00001a31 00005378 02f9a700 x INTRO.STR
00006da9 0000000b 00005194 f CD.HED
00006db4 00004b8c 025c6000 f CD.WAD
0000b940 000111e8 09c36500 x COMPILED.XA
0001cb28 00000001 00000800 d X
0001cb29 000023b8 0145ef00 x X/BAILS01.STR
0001eee1 00002458 014ba300 x X/BAILS02.STR
00021339 00001e80 01165000 x X/BAM.STR
000231b9 00001b8a 00fb4b40 x X/BOB.STR
00024d43 00001c38 01017f00 x X/CABALLER.STR
0002697b 00001e40 01140800 x X/CAMPBELL.STR
000287bb 00001c28 0100ed00 x X/GLIFBERG.STR
0002a3e3 000049c8 02a14100 x X/HAWK.STR
0002edab 00002788 0168b900 x X/KONA.STR
00031533 00001b28 00f7cd00 x X/KOSTON.STR
0003305b 00001d98 010e0b00 x X/LASEK.STR
00034df3 00005038 02dbff00 x X/MULLEN.STR
00039e2b 00001c98 0104eb00 x X/MUSKA.STR
0003bac3 00002018 0124db00 x X/REYNOLDS.STR
0003dadb 00001fb0 01212600 x X/ROWLEY.STR
0003fa8b 00002408 0148c900 x X/THOMAS.STR
00041e93 00003778 01fa2700 x X/STEAMER.STR
0004560b 0000434b 021a54ae f THPS4.JSP
00049956 00003f45 01fa2700 f PAD.DAT
