Analyzing image "Jampack Summer 2K.cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 00000001 0000003c f SYSTEM.CNF
00000018 0000000f 00007800 f SCUS_945.87
00000027 0000000f 00007800 f PSX.EXE
00000036 000000fa 0007d000 f MENU.EXE
00000130 0000000f 00007800 f MAIN.EXE
0000013f 00000019 0000c800 f CONTENTS.DAT
00000158 000009c4 004e2000 f MENU.FF
00000b1c 00000001 00000800 d MOVIES
00000b1d 00002a18 01801b00 x MOVIES/TEASER.STR
00003535 00000c20 006ea400 x MOVIES/BEFORE.STR
00004155 00000154 000c1e80 x MOVIES/TRANS.STR
000042a9 0000012c 00096000 f MOVIES/ENDCAP.STR
000043d5 00000001 00000800 d RYOURI
000043d6 00000174 000b9ff8 f RYOURI/GAME.BIN
0000454a 000000dd 0006e800 f RYOURI/PSX.EXE
00004627 00000049 000243bc f RYOURI/STAGE1.BIN
00004670 00000002 00000ee8 f RYOURI/ST_SEL.BIN
00004672 000000e0 0006fbd8 f RYOURI/TITLE.BIN
00004752 00000001 00000460 f RYOURI/VS_BATU.BIN
00004753 0000000c 00005a06 f RYOURI/VS_SEL.BIN
0000475f 00000001 00000800 d RYOURI/DATA
00004760 00000032 00018fd4 f RYOURI/DATA/MODEL_1.MDL
00004792 00000052 00028b44 f RYOURI/DATA/MODEL_VS.MDL
000047e4 00000041 00020014 f RYOURI/DATA/SELECT.TMB
00004825 00000032 00018db0 f RYOURI/DATA/STAGE1.BD
00004857 00000002 00000878 f RYOURI/DATA/STAGE1.HD
00004859 00000141 000a003c f RYOURI/DATA/STG1.TMB
0000499a 000000bf 0005f2f0 f RYOURI/DATA/STORY.BD
00004a59 00000003 00001404 f RYOURI/DATA/STORY.HD
00004a5c 00000034 0001a000 f RYOURI/DATA/SYSTEM.TMB
00004a90 00000005 00002410 f RYOURI/DATA/TITLE.BD
00004a95 00000001 00000388 f RYOURI/DATA/TITLE.HD
00004a96 00000007 00003014 f RYOURI/DATA/TITLE.MDL
00004a9d 000000c1 00060014 f RYOURI/DATA/TITLE.TMB
00004b5e 00000018 0000bb80 f RYOURI/DATA/VSVOICE.BD
00004b76 00000002 00000880 f RYOURI/DATA/VSVOICE.HD
00004b78 00000041 00020014 f RYOURI/DATA/VS_CHR.TMB
00004bb9 000000a1 00050028 f RYOURI/DATA/VS_GAME.TMB
00004c5a 00000091 00048014 f RYOURI/DATA/VS_SEL.TMB
00004ceb 00000001 00000800 d RYOURI/XA
00004cec 00003a36 01d1a900 f RYOURI/XA/RYOURI.XA
00008722 00000001 00000800 d MED2
00008723 00000189 000c4800 f MED2/MED2.EXE
000088ac 00000819 0040c800 f MED2/PROJFILE.MWD
000090c5 00000001 00000800 d MED2/XA
000090c6 00002890 01722200 x MED2/XA/DEMO.STR
0000b956 00000001 00000800 d MED2/RELOCS
0000b957 00000021 00010114 f MED2/RELOCS/MB_LEVEL.LVB
0000b978 00000025 000126b8 f MED2/RELOCS/MU_LEVEL.LVB
0000b99d 00000001 00000800 d HSG2
0000b99e 00003ad5 01d6a800 f HSG2/MINGOL2.BIN
0000f473 00000415 00253fa0 x HSG2/MINGOL2X.BIN
0000f888 00000082 00041000 f HSG2/SCUS_944.95
0000f90a 00000001 00000800 d SPUNKS
0000f90b 000000ac 00056000 f SPUNKS/SPUNKS.EXE
0000f9b7 00000094 00049f18 f SPUNKS/MENUOVL.BIN
0000fa4b 0000054a 002a5000 f SPUNKS/MENU.GDF
0000ff95 0000004f 00027800 f SPUNKS/CONTROLS.GDF
0000ffe4 000000fe 0007eb9c f SPUNKS/GAMEOVL.BIN
000100e2 0000004f 00027800 f SPUNKS/SCREEN1.GDF
00010131 0000004f 00027800 f SPUNKS/SCREEN2.GDF
00010180 0000004f 00027800 f SPUNKS/SCREEN3.GDF
000101cf 000004b0 00258000 f SPUNKS/L1T1D1.GDF
0001067f 000004a4 00252000 f SPUNKS/L1T1D2.GDF
00010b23 00000360 001b0000 f SPUNKS/L1T1D3.GDF
00010e83 0000036a 001b5000 f SPUNKS/L1T2D3.GDF
000111ed 0000037b 001bd800 f SPUNKS/L1T4D3.GDF
00011568 000004d0 00268000 f SPUNKS/L2T2D1.GDF
00011a38 000004ba 0025d000 f SPUNKS/L2T3D1.GDF
00011ef2 00002854 016ffe80 x SPUNKS/THEMES.XA
00014746 00000001 00000800 d TOMBA2
00014747 0000015c 000ae000 f TOMBA2/MAIN.EXE
000148a3 00000003 0000142e f TOMBA2/UNDER.CCS
000148a6 00000001 00000800 d TOMBA2/BIN
