Analyzing image "(PSX) Tony Hawk's Pro Skater 3 (SLUS-01419) (Russian) (Kudos).cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 000001ab 000d5800 f SLUS_014.19
000001c2 0000000a 00004c9c f CD.HED
000001cc 00004cff 0267f800 f CD.WAD
00004ecb 0001f238 11c23f00 x COMPILED.XA
00024103 00000640 00390800 x ATVILOGO.STR
00024743 00000340 001da800 x SHABA.STR
00024a83 00000bd0 006bca00 x LOGO.STR
00025653 00003c0a 0223db40 x INTRO.STR
0002925d 00000001 00000042 f SYSTEM.CNF
0002925e 00000001 00000800 d X
0002925f 00001b00 00f66000 x X/BAILS02.STR
0002ad5f 00001e80 01165000 x X/BAM.STR
0002cbdf 00001e38 0113bf00 x X/CABALLER.STR
0002ea17 00001e80 01165000 x X/CAMPBELL.STR
00030897 00001e80 01165000 x X/GLIFBERG.STR
00032717 00001df0 01112e00 x X/HAWK.STR
00034507 00001df0 01112e00 x X/KOSTON.STR
000362f7 00001e80 01165000 x X/LASEK.STR
00038177 00001a68 00f0f500 x X/BAILS01.STR
00039bdf 00001df0 01112e00 x X/MULLEN.STR
0003b9cf 00001e80 01165000 x X/MUSKA.STR
0003d84f 00001df0 01112e00 x X/REYNOLDS.STR
0003f63f 00001df0 01112e00 x X/ROWLEY.STR
0004142f 00001e38 0113bf00 x X/STEAMER.STR
00043267 00001df0 01112e00 x X/THOMAS.STR
