Analyzing image "Kiosk Demo Disc Version 1.18 [SCUS-94667].cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 00000001 0000003c f SYSTEM.CNF
00000018 0000000f 00007800 f PSX.EXE
00000027 0000000f 00007800 f SCUS_946.67
00000036 000000fa 0007d000 f MAIN.EXE
00000130 0000000f 00007800 f LAUNCH2.EXE
0000013f 00000019 0000c800 f CONTENTS.DAT
00000158 000004b0 00258000 f MENU.FF
00000608 00000001 00000800 d CB5
00000609 000000c4 00062000 f CB5/CB5.EXE
000006cd 00000a00 00500000 f CB5/SAMPLE.DAT
000010cd 00000001 00000800 d S0
000010ce 0000009f 0004f800 f S0/CRASH.EXE
0000116d 00000039 0001c4d4 f S0/S000000E.NSD
000011a6 000005c0 002e0000 f S0/S000000E.NSF
00001766 00000039 0001c724 f S0/S0000011.NSD
0000179f 000007c0 003e0000 f S0/S0000011.NSF
00001f5f 00000001 00000800 d SPYRO3
00001f60 000000b1 00058800 f SPYRO3/SPYRO3.EXE
00002011 00002070 01038000 f SPYRO3/WAD.WAD
00004081 00003d83 02314b60 x SPYRO3/SPEECH.STR
00007e04 00000001 00000800 d DDR
00007e05 00002d66 016b3000 f DDR/STR.BIN
0000ab6b 00001f40 00fa0000 f DDR/READ_DT.BIN
0000caab 00000a78 005f8700 x DDR/XA.STR
0000d523 000001da 000ed000 f DDR/DDR.EXE
0000d9b9 00000001 00000800 d US_01293
0000d9ba 000000b2 00059000 f US_01293/SLUS_012.93
0000da6c 00000032 00019000 f US_01293/LOCALIZE.EXE
0000da9e 0000007f 0003f800 f US_01293/MENU.EXE
0000db1d 000000d5 0006a800 f US_01293/GAME.EXE
0000dbf2 00000040 00020000 f US_01293/FMV.EXE
0000dc32 00000001 00000800 d US_01293/FMV
0000dc33 000004b0 002ac600 x US_01293/FMV/THQ.STR
0000e0e3 000001d8 0010d300 x US_01293/FMV/HOTGEN.STR
0000e2bb 00000555 0030a7a0 x US_01293/FMV/ATOD.STR
0000e810 00000001 00000800 d US_01293/SOUNDS
0000e811 000000a1 00050720 f US_01293/SOUNDS/SOUNDS.VAG
0000e8b2 00000001 00000800 d US_01293/MISC
0000e8b3 00000019 0000c1ec f US_01293/MISC/LOADINGN.DAT
0000e8cc 00000021 0001029c f US_01293/MISC/LEGALN.DAT
0000e8ed 0000002d 00016772 f US_01293/MISC/TEASERN.DAT
0000e91a 00000001 00000800 d US_01293/STRINGS
0000e91b 00000003 000012ae f US_01293/STRINGS/GAME.USA
0000e91e 00000001 000001f8 f US_01293/STRINGS/MAIN.USA
0000e91f 00000007 0000307c f US_01293/STRINGS/MENU.USA
0000e926 00000001 00000800 d US_01293/GENERIC
0000e927 00000088 00043bfc f US_01293/GENERIC/GEN.BIN
0000e9af 0000012f 0009727c f US_01293/GENERIC/MENUNTSC.BIN
0000eade 00000001 00000800 d US_01293/VEHICLES
0000eadf 00000030 00017e18 f US_01293/VEHICLES/VEHICLE0.CAB
0000eb0f 00000034 0001982c f US_01293/VEHICLES/VEHICLE1.CAB
0000eb43 0000002c 00015c3c f US_01293/VEHICLES/VEHICLE2.CAB
0000eb6f 0000002b 0001572c f US_01293/VEHICLES/VEHICLE3.CAB
