Analyzing image "Tony Hawk 2 PREVIEW PSX.cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 000001aa 000d5000 f PSX.EXE
000001c1 00000009 00004750 f CD.HED
000001ca 000060ec 03076000 f CD.WAD
000062b6 000008d9 0046c800 f NY.STR
00006b8f 00019b68 0eaa1500 x COMPILED.XA
000206f7 00000710 00407200 x LOGO.STR
00020e07 000008d9 0046c800 f MAR.STR
000216e0 00000840 004b4800 x ATVILOGO.STR
00021f20 000008d9 0046c800 f PHILLY.STR
000227f9 000008d9 0046c800 f SCHOOL.STR
000230d2 000008d9 0046c800 f SS.STR
000239ab 00000217 0010b800 f STATIC.STR
