Analyzing image "(PSX) Official UK PlayStation Magazine Euro Demo 82 (SCED-03785).cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 00000001 00000800 d DD
00000018 0000002e 00017000 f DD/PIRATE.EXE
00000046 00000041 00020014 f DD/BSLOGO.TIM
00000087 0000007b 0003d800 f DD/DD.EXE
00000102 0000001f 0000f220 f DD/FUTICONS.TIM
00000121 000000e9 00074610 f DD/FUTCOV.VB
0000020a 000000a1 00050014 f DD/DISCLAIM.TIM
000002ab 0000000c 00005e94 f DD/QUITSCRN.VLC
000002b7 0000000c 00005e94 f DD/RESET.VLC
000002c3 0000000d 00006800 f SCED_037.85
000002d0 00000001 0000003c f SYSTEM.CNF
000002d1 00000001 00000800 d MOVIES
000002d2 000001ed 000f6258 f MOVIES/COVDISC.VLC
000004bf 00000001 00000800 d MGS
000004c0 00000134 0009a000 f MGS/00BOOT.EXE
000005f4 000052fa 0297d000 f MGS/DEMO.DAT
000058ee 000006b1 00358800 f MGS/FACE.DAT
00005f9f 0000013a 0009cf7a f MGS/RADIO.DAT
000060d9 00001c62 00e31000 f MGS/STAGE.DIR
00007d3b 00003832 01c19000 f MGS/VOX.DAT
0000b56d 00000001 00000800 d TC
0000b56e 000000e0 00070000 f TC/TCTITAN.EXE
0000b64e 00000001 00000800 d TC/DATA
0000b64f 00000001 00000800 d TC/DATA/VH
0000b650 00000005 00002220 f TC/DATA/VH/L1A0.VH
0000b655 00000004 00001a20 f TC/DATA/VH/L1A1.VH
0000b659 00000001 00000200 f TC/DATA/VH/L1A1DAT.VH
0000b65a 00000001 00000800 d TC/DATA/BIN
0000b65b 00000005 000023f0 f TC/DATA/BIN/L1_LEAD.BIN
0000b660 0000000a 000049c4 f TC/DATA/BIN/L1_OPEN.BIN
0000b66a 0000000a 00004d24 f TC/DATA/BIN/LEV1A1.BIN
0000b674 00000001 00000370 f TC/DATA/BIN/LEV1ENDB.BIN
0000b675 00000001 00000258 f TC/DATA/BIN/LEV1ENDC.BIN
0000b676 00000001 00000488 f TC/DATA/BIN/LEV1ENDD.BIN
0000b677 00000001 0000059c f TC/DATA/BIN/LEV1ENDE.BIN
0000b678 00000001 00000510 f TC/DATA/BIN/LEV1ENDF.BIN
0000b679 00000005 00002708 f TC/DATA/BIN/LEV1IN.BIN
0000b67e 00000006 00002f4c f TC/DATA/BIN/LEV1OP.BIN
0000b684 00000002 00000c10 f TC/DATA/BIN/LEV1OPA.BIN
0000b686 00000001 00000488 f TC/DATA/BIN/LEV1OPC.BIN
0000b687 00000001 00000800 d TC/DATA/CAP
0000b688 00000006 00002850 f TC/DATA/CAP/DEMO000.CAP
0000b68e 00000001 00000030 f TC/DATA/CAP/VSSVER.SCC
0000b68f 00000001 00000800 d TC/DATA/OVL
0000b690 00000012 000088f4 f TC/DATA/OVL/LEV1A1.OVL
0000b6a2 00000001 00000800 d TC/DATA/PFX
0000b6a3 00000001 00000190 f TC/DATA/PFX/DEBRI.PFX
0000b6a4 00000002 00000e6c f TC/DATA/PFX/L1A1.PFX
0000b6a6 00000001 000004dc f TC/DATA/PFX/L1A2.PFX
0000b6a7 00000002 00000b74 f TC/DATA/PFX/L1A3.PFX
0000b6a9 00000001 0000028c f TC/DATA/PFX/TEST.PFX
0000b6aa 00000001 00000800 d TC/DATA/TIM
0000b6ab 00000002 00000b88 f TC/DATA/TIM/BLOOD.TIM
0000b6ad 00000026 00012e20 f TC/DATA/TIM/FLAG320.TIM
0000b6d3 00000011 00008040 f TC/DATA/TIM/GUNCAL.TIM
0000b6e4 00000002 00000940 f TC/DATA/TIM/GUNCON.TIM
0000b6e6 00000002 00000840 f TC/DATA/TIM/GUNFLASH.TIM
0000b6e8 00000021 00010014 f TC/DATA/TIM/HUDSHELL.TIM
0000b709 00000001 00000340 f TC/DATA/TIM/IMPACT.TIM
0000b70a 00000001 0000068c f TC/DATA/TIM/LOADING.TIM
0000b70b 00000011 00008040 f TC/DATA/TIM/OPT01.TIM
0000b71c 00000001 000006ca f TC/DATA/TIM/PRODUCE.TIM
0000b71d 00000015 0000a040 f TC/DATA/TIM/SELLSELL.TIM
0000b732 00000021 00010014 f TC/DATA/TIM/SNAP000.TIM
0000b753 00000005 00002220 f TC/DATA/TIM/START.TIM
0000b758 0000001f 0000f220 f TC/DATA/TIM/TC_LOGO.TIM
0000b777 00000026 00012e20 f TC/DATA/TIM/TITLE.TIM
0000b79d 00000029 00014220 f TC/DATA/TIM/TITLEBKG.TIM
0000b7c6 00000001 00000800 d TC/DATA/TRK
0000b7c7 00000013 00009218 f TC/DATA/TRK/L1_OPEN.TRK
0000b7da 000000b0 000578c4 f TC/DATA/TRK/LEV1A1.TRK
0000b88a 00000034 00019e80 f TC/DATA/TRK/LEV1END.TRK
0000b8be 00000013 00009218 f TC/DATA/TRK/LEV1OP.TRK
0000b8d1 00000088 00043a6c f TC/DATA/TRK/LEVEL2.TRK
0000b959 00000099 0004c014 f TC/DATA/TRK/LEVELTST.TRK
0000b9f2 00000033 0001962e f TC/DATA/TRK/LEVRAPID.TRK
0000ba25 0000000b 00005078 f TC/DATA/TRK/LEVWATER.TRK
0000ba30 00000001 00000120 f TC/DATA/TRK/VSSVER.SCC
0000ba31 00000001 00000800 d TC/DATA/TWA
0000ba32 00000008 00003e10 f TC/DATA/TWA/DEBRI.TWA
0000ba3a 00000008 00003944 f TC/DATA/TWA/EFFECTS.TWA
0000ba42 0000004b 000253c8 f TC/DATA/TWA/ENEMY.TWA
0000ba8d 0000004b 0002544c f TC/DATA/TWA/ENEMY1.TWA
0000bad8 0000003a 0001caf0 f TC/DATA/TWA/ENEMY3.TWA
0000bb12 00000023 00011668 f TC/DATA/TWA/HUD.TWA
0000bb35 00000001 00000800 d TC/DATA/VB
0000bb36 0000008d 000460e0 f TC/DATA/VB/L1A0.VB
0000bbc3 00000071 00038490 f TC/DATA/VB/L1A1.VB
0000bc34 0000006e 00036c60 f TC/DATA/VB/L1A2.VB
0000bca2 00000001 00000050 f TC/DATA/VB/VSSVER.SCC
0000bca3 00000001 00000800 d TC/DATA/ANI
0000bca4 00000005 00002764 f TC/DATA/ANI/TEST1.ANI
0000bca9 00000001 00000800 d TC/DATA/WAD
0000bcaa 00000009 000044ec f TC/DATA/WAD/BAZOOKA.WAD
0000bcb3 00000002 0000099c f TC/DATA/WAD/ENEMROPE.WAD
0000bcb5 000000da 0006c8fc f TC/DATA/WAD/ENEMY.WAD
0000bd8f 000000fa 0007cb64 f TC/DATA/WAD/ENEMY1.WAD
0000be89 000000f2 00078858 f TC/DATA/WAD/ENEMY3.WAD
0000bf7b 00000007 00003510 f TC/DATA/WAD/GRENADER.WAD
0000bf82 00000009 00004768 f TC/DATA/WAD/MGGUARD.WAD
0000bf8b 00000002 0000099c f TC/DATA/WAD/ROPE.WAD
0000bf8d 00000009 00004368 f TC/DATA/WAD/SHGUARD.WAD
