Analyzing image "[PSX] PlayStation Zone Vol.8 [SLED-02078] [G].cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 00000001 00000047 f SYSTEM.CNF
00000018 00000096 0004b000 f SLED_020.78
000000ae 00000001 00000800 d PSZ
000000af 000054a1 02a50800 f PSZ/PZONE.DAT
00005550 00000096 0004b000 f PSZ/PZONE.EXE
000055e6 00000d30 00785600 x PSZ/ARMYMEN.FMV
00006316 000002f8 001b1700 x PSZ/DUMMY0.FMV
0000660e 00005b78 0342a700 x PSZ/GTA.FMV
0000c186 000002f8 001b1700 x PSZ/DUMMY1.FMV
0000c47e 00005590 030cc200 x PSZ/MH.FMV
00011a0e 000002f8 001b1700 x PSZ/DUMMY2.FMV
00011d06 00005ac0 033c1800 x PSZ/RAINBOW6.FMV
000177c6 000002f8 001b1700 x PSZ/DUMMY3.FMV
00017abe 00004dd0 02c60a00 x PSZ/RAYMAN2.FMV
0001c88e 000002f8 001b1700 x PSZ/DUMMY4.FMV
0001cb86 00000b18 00653b00 x PSZ/PSZINTRO.FMV
0001d69e 000002f8 001b1700 x PSZ/DUMMY5.FMV
0001d996 00000001 00000800 d GTA
0001d997 00000305 001824f4 f GTA/AUDIO.VSR
0001dc9c 00000002 00000b9c f GTA/DEMO.VSR
0001dc9e 00000183 000c12dc f GTA/DLOADING.VSR
0001de21 0000003d 0001e4f4 f GTA/DMISSION.VSR
0001de5e 000001cd 000e61bc f GTA/DNYC.VSR
0001e02b 00000005 00002240 f GTA/FNT_8X8.VSR
0001e030 000000d3 00069358 f GTA/FRONTEND.VSR
0001e103 00000018 0000bbf8 f GTA/GAMEFONT.VSR
0001e11b 00000001 000002e8 f GTA/GTAMOG.VSR
0001e11c 000000a2 000508d4 f GTA/PALETTES.VSR
0002445b 00000218 0010c000 f GTA/GTAD.EXE
0001e1be 00000001 00000800 d EXE
0001e1bf 000011d0 00a28a00 x EXE/1516CMR.IXA
0001f38f 00000125 00092800 f EXE/DEMO.PXE
0001f4b4 00000337 0019b5fc f EXE/DEMO1.BIN
0001f7eb 00000335 0019a318 f EXE/DEMO2.BIN
0001fb20 00000335 0019a318 f EXE/DEMO3.BIN
0001fe55 00000335 0019a318 f EXE/DEMO4.BIN
0002018a 00000335 0019a318 f EXE/DEMO5.BIN
000204bf 00000125 00092800 f EXE/MAIN.PXE
000205e4 000000fa 0007d000 f EXE/MAIND.PXE
000206de 00000016 0000b000 f EXE/NULL.PXE
000206f4 00000002 00000959 f EXE/RECORD.TMP
000206f6 00000001 00000718 f EXE/RECORD1.TMP
000206f7 000000a9 00054800 f EXE/SCEEDEMO.PXE
000207a0 00000001 00000800 d EXE/SDIV
000207a1 000004ae 00257000 f EXE/SDIV/MONTREAD.SUN
00020c4f 000004b0 00258000 f EXE/SDIV/MONZAD.SUN
000210ff 00000001 00000800 d EXE/SNORM
00021100 000005dc 002ee000 f EXE/SNORM/MONTREA.SUN
000216dc 000005dc 002ee000 f EXE/SNORM/MONZA.SUN
00021cb8 00000001 00000800 d EXE/SNORM1
00021cb9 000005dc 002ee000 f EXE/SNORM1/MONTREA.SUN
00022295 000005dc 002ee000 f EXE/SNORM1/MONZA.SUN
00022871 00000001 00000800 d SCARSPAL
00022872 00000020 00010000 f SCARSPAL/DVLC.BIN
00022892 0000020a 00105000 f SCARSPAL/SCARSPAL.EXE
00022a9c 00000014 00009d32 f SCARSPAL/SCARSPAL.SYM
00022ab0 00000001 00000800 d SCARSPAL/4P
00022ab1 00000001 00000800 d SCARSPAL/4P/B
00022ab2 00000005 00002004 f SCARSPAL/4P/B/4.MAP
00022ab7 00000024 00011a90 f SCARSPAL/4P/B/4.MF1
00022adb 00000008 00003860 f SCARSPAL/4P/B/4.MFP
00022ae3 00000006 0000295c f SCARSPAL/4P/B/T.MOM
00022ae9 00000009 00004654 f SCARSPAL/4P/B/T.TMD
00022af2 00000001 00000800 d SCARSPAL/B
00022af3 00000001 00000200 f SCARSPAL/B/T.BAL
00022af4 00000020 00010000 f SCARSPAL/B/T.BDG
00022b14 00000001 00000308 f SCARSPAL/B/T.CL1
00022b15 00000010 00008000 f SCARSPAL/B/T.COL
00022b25 0000005b 0002d388 f SCARSPAL/B/T.GFX
00022b80 00000018 0000c000 f SCARSPAL/B/T.GR2
00022b98 00000018 0000c000 f SCARSPAL/B/T.GRR
00022bb0 00000010 00008000 f SCARSPAL/B/T.HCL
00022bc0 00000010 00008000 f SCARSPAL/B/T.HMP
00022bd0 00000011 00008004 f SCARSPAL/B/T.MAP
00022be1 0000000d 000065f4 f SCARSPAL/B/T.MFX
00022bee 00000005 00002004 f SCARSPAL/B/T.MMM
00022bf3 00000016 0000af1c f SCARSPAL/B/T.MOM
00022c09 00000020 0000ffff f SCARSPAL/B/T.MVI
00022c29 00000005 00002002 f SCARSPAL/B/T.OBM
00022c2e 00000010 00008000 f SCARSPAL/B/T.P28
00022c3e 00000010 00008000 f SCARSPAL/B/T.P29
00022c4e 00000001 000003a0 f SCARSPAL/B/T.PAL
00022c4f 0000001d 0000e42c f SCARSPAL/B/T.TMD
00022c6c 00000020 0000ffff f SCARSPAL/B/T.VIS
00022c8c 0000000b 00005002 f SCARSPAL/B/T.WAY
00022c97 00000001 00000800 d SCARSPAL/CARS
00022c98 00000001 0000024c f SCARSPAL/CARS/C0.MOB
00022c99 00000004 00001e70 f SCARSPAL/CARS/C0.TMD
00022c9d 00000001 00000316 f SCARSPAL/CARS/C1.MOB
00022c9e 00000005 000024b4 f SCARSPAL/CARS/C1.TMD
00022ca3 00000001 0000033e f SCARSPAL/CARS/C2.MOB
00022ca4 00000004 00001c44 f SCARSPAL/CARS/C2.TMD
00022ca8 00000001 0000033c f SCARSPAL/CARS/C3.MOB
00022ca9 00000004 00001e70 f SCARSPAL/CARS/C3.TMD
00022cad 00000001 000002da f SCARSPAL/CARS/C4.MOB
00022cae 00000004 00001e70 f SCARSPAL/CARS/C4.TMD
00022cb2 00000001 0000034e f SCARSPAL/CARS/C5.MOB
00022cb3 00000004 00001c44 f SCARSPAL/CARS/C5.TMD
00022cb7 00000001 0000034e f SCARSPAL/CARS/C6.MOB
00022cb8 00000004 000019f8 f SCARSPAL/CARS/C6.TMD
00022cbc 00000001 000002be f SCARSPAL/CARS/C7.MOB
00022cbd 00000004 00001c44 f SCARSPAL/CARS/C7.TMD
00022cc1 00000001 00000360 f SCARSPAL/CARS/C8.MOB
00022cc2 00000004 00001a54 f SCARSPAL/CARS/C8.TMD
00022cc6 00000001 00000800 d SCARSPAL/DATA
00022cc7 00000001 00000400 f SCARSPAL/DATA/BUBBLE.RAW
00022cc8 00000001 00000800 f SCARSPAL/DATA/ELEC.CHR
00022cc9 00000001 00000780 f SCARSPAL/DATA/FLAGS.CHR
00022cca 00000010 00008000 f SCARSPAL/DATA/FONT.P15
00022cda 00000001 00000400 f SCARSPAL/DATA/HEADLITE.RAW
00022cdb 00000002 00001000 f SCARSPAL/DATA/LENS.RAW
00022cdd 00000002 00001000 f SCARSPAL/DATA/LENS2.RAW
00022cdf 00000020 00010000 f SCARSPAL/DATA/NIGHT.GFX
00022cff 00000001 00000200 f SCARSPAL/DATA/NIGHT.PAL
00022d00 00000010 00008000 f SCARSPAL/DATA/OBJECT.P30
00022d10 00000010 00008000 f SCARSPAL/DATA/OBJECT.P31
00022d20 00000001 00000200 f SCARSPAL/DATA/OBJECT.PAL
00022d21 00000051 00028014 f SCARSPAL/DATA/SCARS1.TIM
00022d72 00000051 00028014 f SCARSPAL/DATA/SCARS2.TIM
00022dc3 00000051 00028014 f SCARSPAL/DATA/SCARS3.TIM
00022e14 00000051 00028014 f SCARSPAL/DATA/SCARS4.TIM
00022e65 00000051 00028014 f SCARSPAL/DATA/SCARS5.TIM
00022eb6 00000001 00000200 f SCARSPAL/DATA/SHADOW.CHR
00022eb7 00000001 000001a0 f SCARSPAL/DATA/SIGHTS.CHR
00022eb8 00000001 00000800 f SCARSPAL/DATA/SMOKE.CHR
00022eb9 00000001 00000600 f SCARSPAL/DATA/SPEEDO.CHR
00022eba 00000001 00000800 f SCARSPAL/DATA/SPHERE.CHR
00022ebb 00000002 00001000 f SCARSPAL/DATA/STAR.RAW
00022ebd 00000004 00001e00 f SCARSPAL/DATA/UBI.GFX
00022ec1 00000001 00000200 f SCARSPAL/DATA/UBI.PAL
00022ec2 00000006 00002d80 f SCARSPAL/DATA/VIVID.GFX
00022ec8 00000001 00000200 f SCARSPAL/DATA/VIVID.PAL
00022ec9 00000001 00000800 d SCARSPAL/SND
00022eca 00000010 00008000 f SCARSPAL/SND/V.000
00022eda 00000010 00008000 f SCARSPAL/SND/V.001
00022eea 00000010 00008000 f SCARSPAL/SND/V.002
00022efa 00000010 00008000 f SCARSPAL/SND/V.003
00022f0a 00000010 00008000 f SCARSPAL/SND/V.004
00022f1a 00000010 00008000 f SCARSPAL/SND/V.005
00022f2a 00000010 00008000 f SCARSPAL/SND/V.006
00022f3a 00000010 00008000 f SCARSPAL/SND/V.007
00022f4a 00000010 00008000 f SCARSPAL/SND/V.008
00022f5a 00000010 00008000 f SCARSPAL/SND/V.009
00022f6a 00000010 00008000 f SCARSPAL/SND/V.010
00022f7a 00000010 00008000 f SCARSPAL/SND/V.011
00022f8a 00000010 00008000 f SCARSPAL/SND/V.012
00022f9a 00000010 00008000 f SCARSPAL/SND/V.013
00022faa 00000010 00008000 f SCARSPAL/SND/V.014
00022fba 00000005 00002580 f SCARSPAL/SND/V.015
00022fbf 00000009 00004420 f SCARSPAL/SND/V.VH
00022fc8 00000001 00000800 d V8
00022fc9 00000213 001092da f V8/COMMON.EXP
000231dc 000000ab 00055800 f V8/V8DEMO.EXE
00023287 00000001 00000800 d V8/HUD
00023288 00000052 00028bea f V8/HUD/ARMS.EXP
000232da 00000001 00000298 f V8/HUD/FONT.FNT
000232db 00000027 0001311c f V8/HUD/HUD.TBL
00023302 00000001 00000800 d V8/MISC
00023303 00000005 0000241c f V8/MISC/GAME.FNT
00023308 00000002 00000c5c f V8/MISC/KONG.FNT
0002330a 00000001 00000800 d V8/SHELL
0002330b 00000011 0000841c f V8/SHELL/LOAD.DLL
0002331c 00000012 00008d38 f V8/SHELL/LOAD.TBL
0002332e 00000039 0001c484 f V8/SHELL/RESOURCE.TBL
00023367 0000000b 00005708 f V8/SHELL/SHELL.DLL
00023372 0000000e 00006d9c f V8/SHELL/SLOGAN.FNT
00023380 000000ae 00056c20 f V8/SHELL/SOUNDS.SND
0002342e 0000009d 0004e35a f V8/SHELL/VEHICLES.EXP
000234cb 000000a1 00050014 f V8/SHELL/WARNING.TIM
0002356c 00000001 00000800 d V8/SOUNDS
0002356d 000000be 0005e808 f V8/SOUNDS/MAIN.SND
0002362b 00000001 00000800 d V8/TERRAIN
0002362c 00000003 000012a4 f V8/TERRAIN/OILFIELD.DLL
0002362f 0000010f 000877fa f V8/TERRAIN/OILFIELD.EXP
0002373e 00000001 00000800 d V8/VIDEO
0002373f 00000a04 005b6480 x V8/VIDEO/ACTLOGO.STR
00024143 00000318 001c3b00 x V8/VIDEO/LUXOFLUX.STR
00024673 00000001 00000800 d PROSKATE
00024674 00002360 0142cc00 x PROSKATE/411.STR
000269d4 00000001 000001d1 f PROSKATE/CD.HED
000269d5 00000c7c 0063e000 f PROSKATE/CD.WAD
00027651 0000011f 0008f800 f PROSKATE/PROSKATE.EXE
0002789c 000033a8 019d4000 a TRACK03.WAV
0002acda 000046f8 0237c000 a MEGABNCE.WAV
0002f468 000036ea 01b75000 a V8.PCM
