Analyzing image "Pizza Hut Disc One [SCUS-94480].cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 00000322 00191000 f FF8.EXE
00000339 0000b703 05b81800 f FF8TRY.IMG
0000ba3c 0000000c 00006000 f MENU.EXE
0000ba48 00000025 00012800 f SLUS_900.29
0000ba6d 00000001 00000800 d MENU
0000ba6e 0000012d 00096014 f MENU/EFF8.TIM
0000bb9b 0000012d 00096014 f MENU/EKEY_0.TIM
0000bcc8 0000012d 00096014 f MENU/EKEY_1.TIM
0000bdf5 0000012d 00096014 f MENU/EKEY_2.TIM
0000bf22 00000002 0000088c f MENU/ETC.OBJ
0000bf24 0000012d 00096014 f MENU/ETUTO_0.TIM
0000c051 0000012d 00096014 f MENU/ETUTO_1.TIM
0000c17e 0000012d 00096014 f MENU/ETUTO_2.TIM
0000c2ab 0000012d 00096014 f MENU/ETUTO_3.TIM
0000c3d8 0000012d 00096014 f MENU/ETUTO_4.TIM
0000c505 0000012d 00096014 f MENU/ETUTO_5.TIM
0000c632 0000012d 00096014 f MENU/ETUTO_6.TIM
0000c75f 0000012d 00096014 f MENU/ETUTO_7.TIM
0000c88c 0000012d 00096014 f MENU/ETUTO_8.TIM
0000c9b9 00000003 000016a0 f MENU/LOGO.OBJ
0000c9bc 000001f8 000fc000 f MENU/MSG.OBJ
0000cbb4 00000002 00000e90 f MENU/SEQ.OBJ
0000cbb6 00000004 00001840 f MENU/SQEA.TIM
0000cbba 000000fd 0007e724 f MENU/WAV.OBJ
0000ccb7 00000001 0000003c f SYSTEM.CNF
0000ccb8 0000000c 00006000 f SCUS_944.80
0000ccc4 0000000c 00006000 f PSX.EXE
0000ccd0 0000000c 00006000 f LAUNCH.EXE
0000ccdc 000000fa 0007d000 f MAIN.EXE
0000cdd6 00000019 0000c800 f CONTENTS.DAT
0000cdef 000002ee 00177000 f MENU.FF
0000d0dd 00000001 00000800 d KIDZ
0000d0de 00000146 000a3000 f KIDZ/KIDZ.EXE
0000d224 00000001 00000800 f KIDZ/KKIIDDZZ.HED
0000d225 0000105a 0082d000 f KIDZ/KKIIDDZZ.DAT
0000e27f 0000004f 00027800 f KIDZ/KKIIDDZZ.BNS
0000e2ce 000000dc 0006d89c f KIDZ/TITLE.ALL
0000e3aa 00000930 0053d600 x KIDZ/TALK.STR
0000ecda 000010da 0099c540 x KIDZ/TITLE.STR
0000fdb4 00000001 00000800 d KART
0000fdb5 000000ed 00076800 f KART/KART.EXE
0000fea2 000009dc 004edca0 f KART/KART.HWL
0001087e 00001903 00c81800 f KART/SAMPLER.BIG
00012181 00000001 00000800 d KART/XA
00012182 00000640 00390800 x KART/XA/S00.XA
000127c2 00000001 00000800 d PROSKATE
000127c3 00000186 000c3000 f PROSKATE/PROSKATE.EXE
00012949 00000008 000039d9 f PROSKATE/CD.HED
00012951 00002b27 01593800 f PROSKATE/CD.WAD
00015478 00004940 029c6800 x PROSKATE/GOLDFING.STR
00019db8 00000840 004b4800 x PROSKATE/ATVILOGO.STR
0001a5f8 00000710 00407200 x PROSKATE/LOGO.STR
0001ad08 00000001 00000800 d CB4
0001ad09 000000c4 00062000 f CB4/CB4.EXE
0001adcd 00000a00 00500000 f CB4/SAMPLE.DAT
0001b7cd 00000001 00000800 d MOVIES
0001b7ce 00001380 00b1f000 x MOVIES/PIZZA.STR
0001cb4e 000010b0 00984600 x MOVIES/PIZZAD1.STR
0001dbfe 00000320 001c8400 x MOVIES/COOL.STR
0001df1e 0000012c 00096000 f MOVIES/ENDCAP.STR
0001e04a 00004000 02000000 f DUMMY.FIL
