Analyzing image "tony_hawks_pro_skater_4.cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 00000001 00000042 f SYSTEM.CNF
00000018 000001aa 000d5000 f SLUS_014.85
000001c2 0000000b 00005194 f CD.HED
000001cd 00004b85 025c2800 f CD.WAD
00004d52 00000640 00390800 x ACTIV.STR
00005392 000111e8 09c36500 x COMPILED.XA
0001657a 00005378 02f9a700 x INTRO.STR
0001b8f2 00000bc8 006b8100 x LOGO.STR
0001c4ba 00000666 003a62c0 x VVLOGO.STR
0001cb20 00000001 00000800 d X
0001cb21 000023b8 0145ef00 x X/BAILS01.STR
0001eed9 00002458 014ba300 x X/BAILS02.STR
00021331 00001e80 01165000 x X/BAM.STR
000231b1 00001b8a 00fb4b40 x X/BOB.STR
00024d3b 00001c38 01017f00 x X/CABALLER.STR
00026973 00001e40 01140800 x X/CAMPBELL.STR
000287b3 00001c28 0100ed00 x X/GLIFBERG.STR
0002a3db 000049c8 02a14100 x X/HAWK.STR
0002eda3 00002788 0168b900 x X/KONA.STR
0003152b 00001b28 00f7cd00 x X/KOSTON.STR
00033053 00001d98 010e0b00 x X/LASEK.STR
00034deb 00005038 02dbff00 x X/MULLEN.STR
00039e23 00001c98 0104eb00 x X/MUSKA.STR
0003babb 00002018 0124db00 x X/REYNOLDS.STR
0003dad3 00001fb0 01212600 x X/ROWLEY.STR
0003fa83 00003778 01fa2700 x X/STEAMER.STR
000431fb 00002408 0148c900 x X/THOMAS.STR
00045603 0000434b 021a54ae f THPS4.JSP
0004994e 00003f45 01fa2700 f PAD.DAT
