Analyzing image "[PSX] Official U.S. PlayStation Magazine Demo Disc 21 [SCUS-94429].cue"...
     LBN   NumSec     Size T Path
00000016 00000001 00000800 d 
00000017 00000001 0000003c f SYSTEM.CNF
00000018 0000000c 00006000 f PSX.EXE
00000024 0000000c 00006000 f SCUS_944.29
00000030 00000049 00024800 f MAIN.EXE
00000079 00000019 0000c800 f CONTENTS.DAT
00000092 000005dc 002ee000 f MENU.FF
0000066e 00000001 00000800 d ELMOABC
0000066f 00000001 00000800 d ELMOABC/ABC
00000670 00000300 00180000 f ELMOABC/ABC/GARDEN.WDL
00000970 00000080 00040000 f ELMOABC/ABC/GENABC.WDL
000009f0 00000300 00180000 f ELMOABC/ABC/ORCHARD.WDL
00000cf0 00000100 00080000 f ELMOABC/ABC/SBGARDEN.WDL
00000df0 00000100 00080000 f ELMOABC/ABC/SBORCH.WDL
00000ef0 00000001 00000800 d ELMOABC/AXA
00000ef1 000003f0 0023ee00 x ELMOABC/AXA/X000002X.XA
000012e1 00000130 000ad600 x ELMOABC/AXA/X000002Y.XA
00001411 00000210 0012d200 x ELMOABC/AXA/X000003X.XA
00001621 00000130 000ad600 x ELMOABC/AXA/X000003Y.XA
00001751 0000003f 0001f54c f ELMOABC/AXA/X0001025.WDL
00001790 0000004a 00024fcc f ELMOABC/AXA/X0002025.WDL
000017da 00000390 00208200 x ELMOABC/AXA/X600001X.XA
00001b6a 00000130 000ad600 x ELMOABC/AXA/X600001Y.XA
00001c9a 00000042 00020fd4 f ELMOABC/AXA/X6200000.WDL
00001cdc 0000008b 00045640 f ELMOABC/AXA/X6200015.WDL
00001d67 0000006d 00036230 f ELMOABC/AXA/X620001A.WDL
00001dd4 0000006c 000359c0 f ELMOABC/AXA/X620001F.WDL
00001e40 00000800 00490000 x ELMOABC/AXA/X620001X.XA
00002640 00000130 000ad600 x ELMOABC/AXA/X620001Y.XA
00002770 00000077 0003b168 f ELMOABC/AXA/X6200024.WDL
000027e7 000007b0 00462600 x ELMOABC/AXA/X620002X.XA
00002f97 00000130 000ad600 x ELMOABC/AXA/X620002Y.XA
000030c7 000002e0 001a3c00 x ELMOABC/AXA/X620003X.XA
000033a7 00000130 000ad600 x ELMOABC/AXA/X620003Y.XA
000034d7 00000048 00023dfc f ELMOABC/AXA/X6800000.WDL
0000351f 0000006b 00035628 f ELMOABC/AXA/X6800010.WDL
0000358a 00000076 0003ac7c f ELMOABC/AXA/X680001A.WDL
00003600 00000820 004a2400 x ELMOABC/AXA/X680001X.XA
00003e20 00000130 000ad600 x ELMOABC/AXA/X680001Y.XA
00003f50 00000066 00032fb0 f ELMOABC/AXA/X6800024.WDL
00003fb6 000006d0 003e2a00 x ELMOABC/AXA/X680002X.XA
00004686 00000130 000ad600 x ELMOABC/AXA/X680002Y.XA
000047b6 00000570 00319e00 x ELMOABC/AXA/X680003X.XA
00004d26 00000130 000ad600 x ELMOABC/AXA/X680003Y.XA
00004e56 00000001 00000800 d ELMOABC/MOVIES
00004e57 00000f28 008a4d00 x ELMOABC/MOVIES/ABCTITLE.STR
00005d7f 00000291 00148800 f ELMOABC/MOVIES/LEGAL.STR
00006010 000000c3 00061800 f ELMOABC/ELMOABC.EXE
000060d3 00000001 00000800 d BLITZ
